event_id,event_date,zone_id,event_type,sub_event_type,fatalities,actor1,actor2,notes,lon,lat,available_at
SEED000001,2012-01-26,z_et_dolo_ado,Protests,,3,Border Watch Irregulars,Northgate Pastoralist Bloc,Reported incident involving Border Watch Irregulars and Northgate Pastoralist Bloc.,41.796917412605886,4.226340650006543,2012-02-01T12:00:00+00:00
SEED000002,2012-01-27,z_so_dolow,Riots,,1,Highland Communal Militia,Riverine Self-Defence Group,Reported incident involving Highland Communal Militia and Riverine Self-Defence Group.,42.0213097228679,4.1615214418818445,2012-01-30T12:00:00+00:00
SEED000003,2012-01-26,z_so_dolow,Riots,,5,Highland Communal Militia,Border Watch Irregulars,Reported incident involving Highland Communal Militia and Border Watch Irregulars.,42.02897016566885,4.2889928073399926,2012-01-28T12:00:00+00:00
SEED000004,2012-02-04,z_ke_arabia,Violence against civilians,,4,Highland Communal Militia,Riverine Self-Defence Group,Reported incident involving Highland Communal Militia and Riverine Self-Defence Group.,41.708218277369454,3.7090779470376796,2012-02-13T12:00:00+00:00
SEED000005,2012-02-07,z_ke_mandera_west,Battles,,2,Riverine Self-Defence Group,Highland Communal Militia,Reported incident involving Riverine Self-Defence Group and Highland Communal Militia.,41.45266429592369,3.963915649554906,2012-02-12T12:00:00+00:00
SEED000006,2012-02-08,z_ke_mandera_town,Protests,,3,Riverine Self-Defence Group,Border Watch Irregulars,Reported incident involving Riverine Self-Defence Group and Border Watch Irregulars.,41.74527162841658,3.9568401166030243,2012-02-14T12:00:00+00:00
SEED000007,2012-02-05,z_et_suftu,Protests,,0,Rangeland Defence Front,Northgate Pastoralist Bloc,Reported incident involving Rangeland Defence Front and Northgate Pastoralist Bloc.,41.43070612995062,4.175494545696969,2012-02-13T12:00:00+00:00
SEED000008,2012-02-06,z_so_dolow,Protests,,2,Northgate Pastoralist Bloc,Riverine Self-Defence Group,Reported incident involving Northgate Pastoralist Bloc and Riverine Self-Defence Group.,42.09488561184922,4.225463979307147,2012-02-08T12:00:00+00:00
SEED000009,2012-02-08,z_so_dolow,Riots,,5,Northgate Pastoralist Bloc,Riverine Self-Defence Group,Reported incident involving Northgate Pastoralist Bloc and Riverine Self-Defence Group.,42.04686268698887,4.23202664736613,2012-02-12T12:00:00+00:00
SEED000010,2012-02-13,z_ke_mandera_south,Riots,,5,Border Watch Irregulars,Rangeland Defence Front,Reported incident involving Border Watch Irregulars and Rangeland Defence Front.,41.53309299590851,3.7793294368896007,2012-02-20T12:00:00+00:00
SEED000011,2012-02-17,z_ke_mandera_town,Protests,,0,Rangeland Defence Front,Northgate Pastoralist Bloc,Reported incident involving Rangeland Defence Front and Northgate Pastoralist Bloc.,41.81899729411466,3.9380236730667977,2012-02-22T12:00:00+00:00
SEED000012,2012-02-11,z_so_bulohawo,Riots,,2,Riverine Self-Defence Group,Border Watch Irregulars,Reported incident involving Riverine Self-Defence Group and Border Watch Irregulars.,42.04006652942993,3.9316631680063834,2012-02-16T12:00:00+00:00
SEED000013,2012-02-16,z_et_suftu,Violence against civilians,,0,Riverine Self-Defence Group,Rangeland Defence Front,Reported incident involving Riverine Self-Defence Group and Rangeland Defence Front.,41.50637813153693,4.165081112310253,2012-02-23T12:00:00+00:00
SEED000014,2012-02-15,z_so_dolow,Battles,,5,Northgate Pastoralist Bloc,Border Watch Irregulars,Reported incident involving Northgate Pastoralist Bloc and Border Watch Irregulars.,42.03388093635246,4.216404241282102,2012-02-19T12:00:00+00:00
SEED000015,2012-02-26,z_ke_mandera_west,Battles,,3,Highland Communal Militia,Northgate Pastoralist Bloc,Reported incident involving Highland Communal Militia and Northgate Pastoralist Bloc.,41.565174798917674,4.073152074876483,2012-02-28T12:00:00+00:00
SEED000016,2012-03-05,z_ke_mandera_south,Strategic developments,,4,Rangeland Defence Front,Border Watch Irregulars,Reported incident involving Rangeland Defence Front and Border Watch Irregulars.,41.551178222198445,3.7266006899616375,2012-03-11T12:00:00+00:00
SEED000017,2012-03-02,z_ke_arabia,Protests,,4,Riverine Self-Defence Group,Border Watch Irregulars,Reported incident involving Riverine Self-Defence Group and Border Watch Irregulars.,41.81787838392585,3.7619266794659323,2012-03-11T12:00:00+00:00
SEED000018,2012-03-05,z_et_suftu,Strategic developments,,4,Highland Communal Militia,Riverine Self-Defence Group,Reported incident involving Highland Communal Militia and Riverine Self-Defence Group.,41.555933204528614,4.269184606474184,2012-03-07T12:00:00+00:00
SEED000019,2012-03-08,z_et_suftu,Strategic developments,,1,Rangeland Defence Front,Riverine Self-Defence Group,Reported incident involving Rangeland Defence Front and Riverine Self-Defence Group.,41.52288731539848,4.241040215758895,2012-03-12T12:00:00+00:00
SEED000020,2012-03-18,z_ke_mandera_south,Strategic developments,,0,Highland Communal Militia,Border Watch Irregulars,Reported incident involving Highland Communal Militia and Border Watch Irregulars.,41.46717984806336,3.7742846618396784,2012-03-22T12:00:00+00:00
SEED000021,2012-03-17,z_ke_arabia,Battles,,2,Border Watch Irregulars,Riverine Self-Defence Group,Reported incident involving Border Watch Irregulars and Riverine Self-Defence Group.,41.82175809347085,3.6628236801431004,2012-03-26T12:00:00+00:00
SEED000022,2012-03-19,z_et_suftu,Protests,,2,Rangeland Defence Front,Border Watch Irregulars,Reported incident involving Rangeland Defence Front and Border Watch Irregulars.,41.49580055008046,4.244823089290376,2012-03-24T12:00:00+00:00
SEED000023,2012-03-29,z_so_dolow,Battles,,3,Riverine Self-Defence Group,Highland Communal Militia,Reported incident involving Riverine Self-Defence Group and Highland Communal Militia.,42.03221925139009,4.173699033737787,2012-04-06T12:00:00+00:00
SEED000024,2012-04-07,z_ke_mandera_south,Riots,,4,Rangeland Defence Front,Riverine Self-Defence Group,Reported incident involving Rangeland Defence Front and Riverine Self-Defence Group.,41.6044538394848,3.6652939774162903,2012-04-13T12:00:00+00:00
SEED000025,2012-04-09,z_so_bulohawo_s,Strategic developments,,4,Border Watch Irregulars,Riverine Self-Defence Group,Reported incident involving Border Watch Irregulars and Riverine Self-Defence Group.,41.99677236788714,3.6392411338000543,2012-04-11T12:00:00+00:00
SEED000026,2012-04-09,z_so_bulohawo,Violence against civilians,,5,Highland Communal Militia,Rangeland Defence Front,Reported incident involving Highland Communal Militia and Rangeland Defence Front.,42.05364530633526,3.9532511355147846,2012-04-16T12:00:00+00:00
SEED000027,2012-04-16,z_ke_mandera_town,Riots,,2,Rangeland Defence Front,Northgate Pastoralist Bloc,Reported incident involving Rangeland Defence Front and Northgate Pastoralist Bloc.,41.72681546139429,4.019379741962562,2012-04-22T12:00:00+00:00
SEED000028,2012-04-11,z_et_suftu,Protests,,4,Rangeland Defence Front,Northgate Pastoralist Bloc,Reported incident involving Rangeland Defence Front and Northgate Pastoralist Bloc.,41.52489151348931,4.240663683834567,2012-04-17T12:00:00+00:00
SEED000029,2012-04-11,z_et_dolo_ado,Battles,,1,Riverine Self-Defence Group,Border Watch Irregulars,Reported incident involving Riverine Self-Defence Group and Border Watch Irregulars.,41.82814966976565,4.280001299992562,2012-04-16T12:00:00+00:00
SEED000030,2012-04-16,z_so_dolow,Strategic developments,,0,Northgate Pastoralist Bloc,Border Watch Irregulars,Reported incident involving Northgate Pastoralist Bloc and Border Watch Irregulars.,42.064677402858315,4.240766400836171,2012-04-21T12:00:00+00:00
SEED000031,2012-04-22,z_ke_mandera_south,Battles,,3,Northgate Pastoralist Bloc,Highland Communal Militia,Reported incident involving Northgate Pastoralist Bloc and Highland Communal Militia.,41.518022098723705,3.784726052517488,2012-04-29T12:00:00+00:00
SEED000032,2012-04-21,z_so_bulohawo_s,Protests,,3,Highland Communal Militia,Riverine Self-Defence Group,Reported incident involving Highland Communal Militia and Riverine Self-Defence Group.,41.97234814064036,3.6902923887441625,2012-04-23T12:00:00+00:00
SEED000033,2012-04-27,z_ke_mandera_town,Violence against civilians,,4,Border Watch Irregulars,Rangeland Defence Front,Reported incident involving Border Watch Irregulars and Rangeland Defence Front.,41.742315793200184,3.944756685129526,2012-05-04T12:00:00+00:00
SEED000034,2012-04-27,z_et_dolo_ado,Strategic developments,,2,Northgate Pastoralist Bloc,Highland Communal Militia,Reported incident involving Northgate Pastoralist Bloc and Highland Communal Militia.,41.8742931686507,4.280871233800951,2012-05-01T12:00:00+00:00
SEED000035,2012-04-28,z_et_dolo_ado,Riots,,4,Riverine Self-Defence Group,Rangeland Defence Front,Reported incident involving Riverine Self-Defence Group and Rangeland Defence Front.,41.76538709141354,4.230072308697544,2012-05-07T12:00:00+00:00
SEED000036,2012-04-26,z_so_dolow,Protests,,5,Border Watch Irregulars,Rangeland Defence Front,Reported incident involving Border Watch Irregulars and Rangeland Defence Front.,41.988891187215266,4.208527033943577,2012-04-28T12:00:00+00:00
SEED000037,2012-04-27,z_so_dolow,Strategic developments,,3,Highland Communal Militia,Northgate Pastoralist Bloc,Reported incident involving Highland Communal Militia and Northgate Pastoralist Bloc.,42.006235613084165,4.199053018945332,2012-05-05T12:00:00+00:00
SEED000038,2012-05-06,z_ke_mandera_south,Riots,,2,Border Watch Irregulars,Northgate Pastoralist Bloc,Reported incident involving Border Watch Irregulars and Northgate Pastoralist Bloc.,41.46468208154091,3.7872934207400886,2012-05-11T12:00:00+00:00
SEED000039,2012-05-05,z_ke_arabia,Riots,,0,Highland Communal Militia,Rangeland Defence Front,Reported incident involving Highland Communal Militia and Rangeland Defence Front.,41.849656008594,3.7197197997340425,2012-05-12T12:00:00+00:00
SEED000040,2012-05-05,z_ke_arabia,Riots,,3,Rangeland Defence Front,Highland Communal Militia,Reported incident involving Rangeland Defence Front and Highland Communal Militia.,41.72898327646076,3.634190057323853,2012-05-09T12:00:00+00:00
SEED000041,2012-05-01,z_so_bulohawo_s,Violence against civilians,,2,Highland Communal Militia,Rangeland Defence Front,Reported incident involving Highland Communal Militia and Rangeland Defence Front.,42.06645192099753,3.7107936668422323,2012-05-06T12:00:00+00:00
SEED000042,2012-05-06,z_so_bulohawo_s,Protests,,2,Highland Communal Militia,Riverine Self-Defence Group,Reported incident involving Highland Communal Militia and Riverine Self-Defence Group.,42.05053745194316,3.795420200277036,2012-05-13T12:00:00+00:00
SEED000043,2012-05-02,z_ke_mandera_west,Violence against civilians,,1,Riverine Self-Defence Group,Northgate Pastoralist Bloc,Reported incident involving Riverine Self-Defence Group and Northgate Pastoralist Bloc.,41.53496928176707,3.857713305967337,2012-05-08T12:00:00+00:00
SEED000044,2012-05-11,z_so_bulohawo_s,Strategic developments,,3,Highland Communal Militia,Riverine Self-Defence Group,Reported incident involving Highland Communal Militia and Riverine Self-Defence Group.,42.00065032654075,3.6809332132652313,2012-05-17T12:00:00+00:00
SEED000045,2012-05-11,z_ke_mandera_town,Strategic developments,,1,Highland Communal Militia,Rangeland Defence Front,Reported incident involving Highland Communal Militia and Rangeland Defence Front.,41.76481031500967,3.91839096037588,2012-05-14T12:00:00+00:00
SEED000046,2012-05-13,z_so_dolow,Riots,,4,Northgate Pastoralist Bloc,Highland Communal Militia,Reported incident involving Northgate Pastoralist Bloc and Highland Communal Militia.,42.03976809005908,4.238518926469929,2012-05-18T12:00:00+00:00
SEED000047,2012-05-26,z_ke_mandera_south,Strategic developments,,0,Border Watch Irregulars,Rangeland Defence Front,Reported incident involving Border Watch Irregulars and Rangeland Defence Front.,41.544269408381545,3.665999179673703,2012-05-29T12:00:00+00:00
SEED000048,2012-05-21,z_ke_arabia,Battles,,4,Northgate Pastoralist Bloc,Highland Communal Militia,Reported incident involving Northgate Pastoralist Bloc and Highland Communal Militia.,41.75610946360529,3.752979470089195,2012-05-27T12:00:00+00:00
