zone_id,dekad_start,rain_mm,rain_anomaly,rain_available_at,ndvi,ndvi_anomaly,ndvi_available_at
z_ke_mandera_south,2012-01-01,16.82,10.23,2012-01-15T06:00:00+00:00,0.3,0.05,2012-01-18T06:00:00+00:00
z_ke_mandera_south,2012-01-11,3.29,2.01,2012-01-25T06:00:00+00:00,0.2777,0.0277,2012-01-28T06:00:00+00:00
z_ke_mandera_south,2012-01-21,0.0,0.0,2012-02-05T06:00:00+00:00,0.2387,-0.0113,2012-02-08T06:00:00+00:00
z_ke_mandera_south,2012-02-01,1.5,1.5,2012-02-15T06:00:00+00:00,0.2389,-0.0111,2012-02-18T06:00:00+00:00
z_ke_mandera_south,2012-02-11,5.4,2.71,2012-02-25T06:00:00+00:00,0.25,-0.0,2012-02-28T06:00:00+00:00
z_ke_mandera_south,2012-02-21,16.25,9.86,2012-03-05T06:00:00+00:00,0.2536,0.0036,2012-03-08T06:00:00+00:00
z_ke_mandera_south,2012-03-01,12.65,3.44,2012-03-15T06:00:00+00:00,0.2736,0.0236,2012-03-18T06:00:00+00:00
z_ke_mandera_south,2012-03-11,9.95,-2.55,2012-03-25T06:00:00+00:00,0.2702,0.0015,2012-03-28T06:00:00+00:00
z_ke_mandera_south,2012-03-21,17.69,2.28,2012-04-05T06:00:00+00:00,0.2685,-0.0306,2012-04-08T06:00:00+00:00
z_ke_mandera_south,2012-04-01,22.84,4.75,2012-04-15T06:00:00+00:00,0.2837,-0.047,2012-04-18T06:00:00+00:00
z_ke_mandera_south,2012-04-11,31.97,12.0,2012-04-25T06:00:00+00:00,0.3076,-0.0495,2012-04-28T06:00:00+00:00
z_ke_mandera_south,2012-04-21,29.42,4.69,2012-05-05T06:00:00+00:00,0.3394,-0.0409,2012-05-08T06:00:00+00:00
z_ke_mandera_south,2012-05-01,36.62,6.16,2012-05-15T06:00:00+00:00,0.3739,-0.0257,2012-05-18T06:00:00+00:00
z_ke_mandera_south,2012-05-11,32.4,-2.13,2012-05-25T06:00:00+00:00,0.3933,-0.0212,2012-05-28T06:00:00+00:00
z_ke_mandera_south,2012-05-21,36.52,0.04,2012-06-05T06:00:00+00:00,0.4136,-0.0111,2012-06-08T06:00:00+00:00
z_ke_mandera_south,2012-06-01,31.77,-4.07,2012-06-15T06:00:00+00:00,0.4081,-0.0216,2012-06-18T06:00:00+00:00
z_ke_mandera_south,2012-06-11,36.09,3.41,2012-06-25T06:00:00+00:00,0.4275,-0.0013,2012-06-28T06:00:00+00:00
z_ke_mandera_south,2012-06-21,28.28,1.02,2012-07-05T06:00:00+00:00,0.4248,0.0022,2012-07-08T06:00:00+00:00
z_ke_mandera_south,2012-07-01,31.83,11.83,2012-07-15T06:00:00+00:00,0.437,0.0258,2012-07-18T06:00:00+00:00
z_ke_mandera_south,2012-07-11,12.73,1.22,2012-07-25T06:00:00+00:00,0.4148,0.0195,2012-07-28T06:00:00+00:00
z_ke_mandera_south,2012-07-21,2.17,-3.62,2012-08-05T06:00:00+00:00,0.3907,0.0158,2012-08-08T06:00:00+00:00
z_ke_mandera_south,2012-08-01,0.0,-1.7,2012-08-15T06:00:00+00:00,0.3762,0.028,2012-08-18T06:00:00+00:00
z_ke_mandera_south,2012-08-11,3.84,3.84,2012-08-25T06:00:00+00:00,0.366,0.045,2012-08-28T06:00:00+00:00
z_ke_mandera_south,2012-08-21,0.0,0.0,2012-09-05T06:00:00+00:00,0.3352,0.0436,2012-09-08T06:00:00+00:00
z_ke_mandera_south,2012-09-01,0.0,0.0,2012-09-15T06:00:00+00:00,0.3268,0.0689,2012-09-18T06:00:00+00:00
z_ke_mandera_south,2012-09-11,7.44,7.44,2012-09-25T06:00:00+00:00,0.2838,0.0338,2012-09-28T06:00:00+00:00
z_ke_mandera_south,2012-09-21,7.81,7.81,2012-10-05T06:00:00+00:00,0.2865,0.0365,2012-10-08T06:00:00+00:00
z_ke_mandera_south,2012-10-01,1.67,1.67,2012-10-15T06:00:00+00:00,0.2845,0.0345,2012-10-18T06:00:00+00:00
z_ke_mandera_south,2012-10-11,7.11,7.11,2012-10-25T06:00:00+00:00,0.2765,0.0265,2012-10-28T06:00:00+00:00
z_ke_mandera_south,2012-10-21,8.37,4.7,2012-11-05T06:00:00+00:00,0.2649,0.0149,2012-11-08T06:00:00+00:00
z_ke_mandera_south,2012-11-01,9.59,0.42,2012-11-15T06:00:00+00:00,0.2601,0.0101,2012-11-18T06:00:00+00:00
z_ke_mandera_south,2012-11-11,18.68,5.62,2012-11-25T06:00:00+00:00,0.2599,0.0099,2012-11-28T06:00:00+00:00
z_ke_mandera_south,2012-11-21,17.26,1.85,2012-12-05T06:00:00+00:00,0.2617,0.0117,2012-12-08T06:00:00+00:00
z_ke_mandera_south,2012-12-01,8.17,-7.79,2012-12-15T06:00:00+00:00,0.2542,0.0042,2012-12-18T06:00:00+00:00
z_ke_mandera_south,2012-12-11,22.29,7.65,2012-12-25T06:00:00+00:00,0.2695,0.0195,2012-12-28T06:00:00+00:00
z_ke_mandera_south,2012-12-21,17.21,5.61,2013-01-05T06:00:00+00:00,0.2588,0.0088,2013-01-08T06:00:00+00:00
z_ke_mandera_south,2013-01-01,11.41,4.83,2013-01-15T06:00:00+00:00,0.2692,0.0192,2013-01-18T06:00:00+00:00
z_ke_mandera_south,2013-01-11,4.9,3.62,2013-01-25T06:00:00+00:00,0.259,0.009,2013-01-28T06:00:00+00:00
z_ke_mandera_south,2013-01-21,2.84,2.84,2013-02-05T06:00:00+00:00,0.2514,0.0014,2013-02-08T06:00:00+00:00
z_ke_mandera_south,2013-02-01,0.0,0.0,2013-02-15T06:00:00+00:00,0.2596,0.0096,2013-02-18T06:00:00+00:00
z_ke_mandera_south,2013-02-11,6.73,4.04,2013-02-25T06:00:00+00:00,0.2752,0.0252,2013-02-28T06:00:00+00:00
z_ke_mandera_south,2013-02-21,16.21,9.82,2013-03-05T06:00:00+00:00,0.2672,0.0172,2013-03-08T06:00:00+00:00
z_ke_mandera_south,2013-03-01,8.15,-1.07,2013-03-15T06:00:00+00:00,0.2756,0.0256,2013-03-18T06:00:00+00:00
z_ke_mandera_south,2013-03-11,7.69,-4.81,2013-03-25T06:00:00+00:00,0.2731,0.0044,2013-03-28T06:00:00+00:00
z_ke_mandera_south,2013-03-21,14.31,-1.1,2013-04-05T06:00:00+00:00,0.2757,-0.0234,2013-04-08T06:00:00+00:00
z_ke_mandera_south,2013-04-01,20.74,2.65,2013-04-15T06:00:00+00:00,0.3115,-0.0193,2013-04-18T06:00:00+00:00
z_ke_mandera_south,2013-04-11,22.67,2.7,2013-04-25T06:00:00+00:00,0.3308,-0.0263,2013-04-28T06:00:00+00:00
z_ke_mandera_south,2013-04-21,22.46,-2.26,2013-05-05T06:00:00+00:00,0.3444,-0.0359,2013-05-08T06:00:00+00:00
z_ke_mandera_south,2013-05-01,33.93,3.47,2013-05-15T06:00:00+00:00,0.3679,-0.0318,2013-05-18T06:00:00+00:00
z_ke_mandera_south,2013-05-11,49.66,15.14,2013-05-25T06:00:00+00:00,0.3946,-0.02,2013-05-28T06:00:00+00:00
z_ke_mandera_south,2013-05-21,47.66,11.18,2013-06-05T06:00:00+00:00,0.4046,-0.02,2013-06-08T06:00:00+00:00
z_ke_mandera_south,2013-06-01,38.0,2.16,2013-06-15T06:00:00+00:00,0.3988,-0.0309,2013-06-18T06:00:00+00:00
z_ke_mandera_south,2013-06-11,38.49,5.81,2013-06-25T06:00:00+00:00,0.403,-0.0258,2013-06-28T06:00:00+00:00
z_ke_mandera_south,2013-06-21,37.07,9.81,2013-07-05T06:00:00+00:00,0.4104,-0.0122,2013-07-08T06:00:00+00:00
z_ke_mandera_south,2013-07-01,26.51,6.5,2013-07-15T06:00:00+00:00,0.4248,0.0135,2013-07-18T06:00:00+00:00
z_ke_mandera_south,2013-07-11,8.18,-3.33,2013-07-25T06:00:00+00:00,0.3978,0.0026,2013-07-28T06:00:00+00:00
z_ke_mandera_south,2013-07-21,2.56,-3.23,2013-08-05T06:00:00+00:00,0.382,0.0071,2013-08-08T06:00:00+00:00
z_ke_mandera_south,2013-08-01,2.07,0.37,2013-08-15T06:00:00+00:00,0.3812,0.033,2013-08-18T06:00:00+00:00
z_ke_mandera_south,2013-08-11,1.97,1.97,2013-08-25T06:00:00+00:00,0.3506,0.0296,2013-08-28T06:00:00+00:00
z_ke_mandera_south,2013-08-21,0.0,0.0,2013-09-05T06:00:00+00:00,0.3249,0.0333,2013-09-08T06:00:00+00:00
z_ke_mandera_south,2013-09-01,0.0,0.0,2013-09-15T06:00:00+00:00,0.2974,0.0394,2013-09-18T06:00:00+00:00
z_ke_mandera_south,2013-09-11,0.0,0.0,2013-09-25T06:00:00+00:00,0.2689,0.0189,2013-09-28T06:00:00+00:00
z_ke_mandera_south,2013-09-21,2.36,2.36,2013-10-05T06:00:00+00:00,0.2689,0.0189,2013-10-08T06:00:00+00:00
z_ke_mandera_south,2013-10-01,0.0,0.0,2013-10-15T06:00:00+00:00,0.2493,-0.0007,2013-10-18T06:00:00+00:00
z_ke_mandera_south,2013-10-11,5.98,5.98,2013-10-25T06:00:00+00:00,0.2544,0.0044,2013-10-28T06:00:00+00:00
z_ke_mandera_south,2013-10-21,10.22,6.54,2013-11-05T06:00:00+00:00,0.2502,0.0002,2013-11-08T06:00:00+00:00
z_ke_mandera_south,2013-11-01,7.91,-1.26,2013-11-15T06:00:00+00:00,0.2552,0.0052,2013-11-18T06:00:00+00:00
z_ke_mandera_south,2013-11-11,27.48,14.42,2013-11-25T06:00:00+00:00,0.2682,0.0182,2013-11-28T06:00:00+00:00
z_ke_mandera_south,2013-11-21,20.56,5.15,2013-12-05T06:00:00+00:00,0.2531,0.0031,2013-12-08T06:00:00+00:00
z_ke_mandera_south,2013-12-01,19.11,3.15,2013-12-15T06:00:00+00:00,0.2533,0.0033,2013-12-18T06:00:00+00:00
z_ke_mandera_south,2013-12-11,9.53,-5.11,2013-12-25T06:00:00+00:00,0.2574,0.0074,2013-12-28T06:00:00+00:00
z_ke_mandera_south,2013-12-21,14.61,3.01,2014-01-05T06:00:00+00:00,0.2639,0.0139,2014-01-08T06:00:00+00:00
z_ke_mandera_south,2014-01-01,1.13,-5.46,2014-01-15T06:00:00+00:00,0.2583,0.0083,2014-01-18T06:00:00+00:00
z_ke_mandera_south,2014-01-11,0.0,-1.28,2014-01-25T06:00:00+00:00,0.2677,0.0177,2014-01-28T06:00:00+00:00
z_ke_mandera_south,2014-01-21,0.0,0.0,2014-02-05T06:00:00+00:00,0.2576,0.0076,2014-02-08T06:00:00+00:00
z_ke_mandera_south,2014-02-01,0.0,0.0,2014-02-15T06:00:00+00:00,0.2427,-0.0073,2014-02-18T06:00:00+00:00
z_ke_mandera_south,2014-02-11,2.34,-0.35,2014-02-25T06:00:00+00:00,0.2494,-0.0006,2014-02-28T06:00:00+00:00
z_ke_mandera_south,2014-02-21,11.59,5.2,2014-03-05T06:00:00+00:00,0.2466,-0.0034,2014-03-08T06:00:00+00:00
z_ke_mandera_south,2014-03-01,10.88,1.66,2014-03-15T06:00:00+00:00,0.2475,-0.0025,2014-03-18T06:00:00+00:00
z_ke_mandera_south,2014-03-11,20.0,7.5,2014-03-25T06:00:00+00:00,0.2668,-0.002,2014-03-28T06:00:00+00:00
z_ke_mandera_south,2014-03-21,11.12,-4.29,2014-04-05T06:00:00+00:00,0.2629,-0.0362,2014-04-08T06:00:00+00:00
z_ke_mandera_south,2014-04-01,23.25,5.16,2014-04-15T06:00:00+00:00,0.3027,-0.0281,2014-04-18T06:00:00+00:00
z_ke_mandera_south,2014-04-11,24.4,4.44,2014-04-25T06:00:00+00:00,0.3295,-0.0276,2014-04-28T06:00:00+00:00
z_ke_mandera_south,2014-04-21,37.62,12.89,2014-05-05T06:00:00+00:00,0.3696,-0.0107,2014-05-08T06:00:00+00:00
z_ke_mandera_south,2014-05-01,28.64,-1.82,2014-05-15T06:00:00+00:00,0.3675,-0.0322,2014-05-18T06:00:00+00:00
z_ke_mandera_south,2014-05-11,30.26,-4.27,2014-05-25T06:00:00+00:00,0.3845,-0.0301,2014-05-28T06:00:00+00:00
z_ke_mandera_south,2014-05-21,37.83,1.35,2014-06-05T06:00:00+00:00,0.3936,-0.031,2014-06-08T06:00:00+00:00
z_ke_mandera_south,2014-06-01,38.72,2.88,2014-06-15T06:00:00+00:00,0.3959,-0.0339,2014-06-18T06:00:00+00:00
z_ke_mandera_south,2014-06-11,28.48,-4.2,2014-06-25T06:00:00+00:00,0.4145,-0.0143,2014-06-28T06:00:00+00:00
z_ke_mandera_south,2014-06-21,35.32,8.07,2014-07-05T06:00:00+00:00,0.4293,0.0068,2014-07-08T06:00:00+00:00
z_ke_mandera_south,2014-07-01,11.8,-8.21,2014-07-15T06:00:00+00:00,0.4249,0.0136,2014-07-18T06:00:00+00:00
z_ke_mandera_south,2014-07-11,0.43,-11.08,2014-07-25T06:00:00+00:00,0.3891,-0.0061,2014-07-28T06:00:00+00:00
z_ke_mandera_south,2014-07-21,3.08,-2.72,2014-08-05T06:00:00+00:00,0.3684,-0.0065,2014-08-08T06:00:00+00:00
z_ke_mandera_south,2014-08-01,0.0,-1.7,2014-08-15T06:00:00+00:00,0.3494,0.0011,2014-08-18T06:00:00+00:00
z_ke_mandera_south,2014-08-11,0.0,0.0,2014-08-25T06:00:00+00:00,0.3455,0.0246,2014-08-28T06:00:00+00:00
z_ke_mandera_south,2014-08-21,0.0,0.0,2014-09-05T06:00:00+00:00,0.3346,0.043,2014-09-08T06:00:00+00:00
z_ke_mandera_south,2014-09-01,1.9,1.9,2014-09-15T06:00:00+00:00,0.3143,0.0564,2014-09-18T06:00:00+00:00
z_ke_mandera_south,2014-09-11,0.0,0.0,2014-09-25T06:00:00+00:00,0.2855,0.0355,2014-09-28T06:00:00+00:00
z_ke_mandera_south,2014-09-21,7.94,7.94,2014-10-05T06:00:00+00:00,0.2606,0.0106,2014-10-08T06:00:00+00:00
z_ke_mandera_south,2014-10-01,0.0,0.0,2014-10-15T06:00:00+00:00,0.27,0.02,2014-10-18T06:00:00+00:00
z_ke_mandera_south,2014-10-11,8.35,8.35,2014-10-25T06:00:00+00:00,0.2577,0.0077,2014-10-28T06:00:00+00:00
